date,precio_promedio,cosecha_tons,embarques_tons,tipo_cambio,temp_min_c,temp_avg_c,temp_max_c,precipitation_mm,importaciones_kg,precio_importacion_usd,year,month,quarter,precio_lag1,precio_lag2,precio_lag3,precio_ma3,precio_ma6,precio_ma12,precio_std3,ratio_oferta_demanda,balance_oferta_demanda,precio_importacion_mxn,diferencial_precio_mx_us,temp_precip_interaction,precio_proximo_mes,precio_promedio_log,cosecha_tons_log,embarques_tons_log,importaciones_kg_log,precio_promedio_boxcox,tipo_cambio_boxcox,temp_avg_c_boxcox,temp_loca,temp_marcena,temp_normal,month_sin,month_cos,produccion_tons,precio_productor_kg,rendimiento,superficie_cosechada,demanda_export_klbs,flag_evento_export,flag_inspeccion,flag_cierre,precio_usa_usd,volumen_usa
2019-06-01,59.388,,,,17.7,25.5,33.3,96.3,34103650.0,4.581663986112924,2019,6,2,51.857,31.11,31.11,47.45166666666666,40.48283333333333,36.16108333333333,14.644676245425616,,,,,2455.65,62.996,4.10079040970549,0.0,0.0,17.344915003971117,1.272785459656657,,3923.6495425764415,False,True,False,1.2246467991473532e-16,-1.0,8089.513968794962,19.9015045772116,11.19520329397189,19556.9,75185.67828,0.0,0.0,0.0,1.3846625486000002,33888874.162
2019-07-01,62.996,,,,16.7,23.7,30.8,217.7,50546761.0,3.823648759610927,2019,7,3,59.388,51.857,31.11,58.08033333333333,45.00966666666667,38.706583333333334,5.6834693923107595,,,,,5159.49,52.524,4.158820581406466,0.0,0.0,17.738409445988417,1.2754143249092873,,3212.193679758532,True,False,False,-0.4999999999999998,-0.8660254037844388,11989.881704358344,19.9015045772116,11.19520329397189,19556.9,111436.5328,0.0,0.0,0.0,1.5711446494999999,29974404.700000003
2019-08-01,52.524,,,,16.7,23.4,30.1,171.7,60913348.0,3.180332314027461,2019,8,3,62.996,59.388,51.857,58.302666666666674,48.16416666666667,40.46775,5.319695229365424,,,,,4017.7799999999993,51.11,3.9801301514427423,0.0,0.0,17.92496290406262,1.26693934805478,,3102.464298345176,True,False,False,-0.8660254037844384,-0.5000000000000004,14448.875106684143,19.9015045772116,11.19520329397189,19556.9,134290.945,0.0,0.0,0.0,1.4085788725,30958190.465
2019-09-01,51.11,,,,16.4,23.0,29.5,239.8,83512679.0,2.417897646416061,2019,9,3,52.524,62.996,59.388,55.54333333333333,51.4975,42.15541666666667,6.492805967633203,,,,,5515.400000000001,43.999,3.9533568689211234,0.0,0.0,18.24050903457951,1.2655689310762466,,2959.9803342438327,True,False,False,-1.0,-1.8369701987210294e-16,19809.52136624642,19.9015045772116,11.19520329397189,19556.9,184073.2815,0.0,0.0,0.0,1.2790805078,32284535.501999997
2019-10-01,43.999,,,,15.6,22.2,28.7,128.6,94414898.0,2.1432024318873912,2019,10,4,51.11,52.524,62.996,49.211000000000006,53.64566666666666,43.23075,4.568758803001112,,,,,2854.9199999999996,31.527,3.806640267301181,0.0,0.0,18.36320944705197,1.2575508531823931,,2687.88863102206,False,False,False,-0.8660254037844386,0.5000000000000001,22395.568692305707,19.9015045772116,11.19520329397189,19556.9,208149.22,0.0,0.0,0.0,1.15899687975,32174886.01
2019-11-01,31.527,,,,13.9,20.9,27.9,50.5,85872510.0,2.0207854644053143,2019,11,4,43.999,51.11,52.524,42.212,50.25733333333334,43.196333333333335,9.91304690798951,,,,,1055.4499999999998,30.557,3.482070513668711,0.0,0.0,18.26837432409839,1.2363461073142814,,2281.2738104452915,False,False,False,-0.5000000000000004,0.8660254037844384,20369.28214957886,19.9015045772116,11.19520329397189,19556.9,189316.2665,0.0,0.0,0.0,1.08672573725,31221108.8375
2019-12-01,30.557,,,,9.9,18.3,26.7,6.1,92774995.0,2.0930563240666302,2019,12,4,31.527,43.999,51.11,35.361,45.45216666666667,42.9675,7.496433018442882,,,,,111.63,30.557,3.4517954344252466,0.0,0.0,18.345687721795873,1.2340924567217868,,1592.4017868560688,False,False,False,-2.4492935982947064e-16,1.0,22006.57753663854,19.9015045772116,11.19520329397189,19556.9,204300.0745,0.0,0.0,0.0,1.0430343182,30172477.218000002
2020-01-01,30.557,,,,9.3,17.8,26.2,49.8,116849670.0,2.355725583136007,2020,1,1,30.557,31.527,43.999,30.88033333333333,40.04566666666667,42.52766666666667,0.5600297611146244,,,,,886.4399999999999,30.557,3.4517954344252466,0.0,0.0,18.576398803369653,1.2340924567217868,,1477.8339234057955,False,False,True,0.4999999999999999,0.8660254037844387,28868.293293365932,16.66491366416625,10.960972031057729,20920.059999999998,257609.4258,1.0,0.0,0.0,1.0138107425,38817041.9475
2020-02-01,30.557,,,,10.8,19.5,28.2,55.6,80264358.0,2.885708535786208,2020,2,1,30.557,30.557,31.527,30.557,36.3845,42.27433333333334,8.827977616149403e-07,,,,,1084.2,30.292,3.4517954344252466,0.0,0.0,18.200836232317545,1.2340924567217868,,1890.4695383228857,False,False,True,0.8660254037844386,0.5000000000000001,19829.709641009016,16.66491366416625,10.960972031057729,20920.059999999998,176952.6194,1.0,0.0,0.0,1.00557800925,41508371.115
2020-03-01,30.292,,,,13.0,22.4,31.7,1.1,77382160.0,3.085201266028242,2020,3,1,30.557,30.557,30.557,30.468666666666664,32.914833333333334,42.20616666666667,0.1529978213378062,,,,,24.64,29.63,3.4433624738228343,0.0,0.0,18.164266833959637,1.2334555571536268,,2754.3210152120387,False,False,True,1.0,6.123233995736766e-17,19117.64826168674,16.66491366416625,10.960972031057729,20920.059999999998,170363.0398,0.0,0.0,0.0,1.2013594250000001,39379931.818
2020-04-01,29.63,,,,13.5,23.2,32.8,1.4,71235493.0,2.624906308994029,2020,4,2,30.292,30.557,30.557,30.159666666666663,30.52,42.08283333333333,0.477458200614594,,,,,32.48,29.63,3.421979920844684,0.0,0.0,18.081501763402713,1.2318224840012608,,3030.6794863651844,False,True,False,0.8660254037844387,-0.4999999999999998,17599.083547446182,16.66491366416625,10.960972031057729,20920.059999999998,157047.3793,0.0,0.0,0.0,1.2232547635,42212523.777499996
2020-05-01,29.63,,,,14.2,23.5,32.8,16.0,79241622.0,2.441498320163108,2020,5,2,29.63,30.292,30.557,29.850666666666665,30.203833333333336,40.230583333333335,0.382205878204583,,,,,376.0,29.63,3.421979920844684,0.0,0.0,18.18801226166463,1.2318224840012608,,3138.766191997645,False,True,False,0.4999999999999999,-0.8660254037844387,19577.037615408226,16.66491366416625,10.960972031057729,20920.059999999998,174697.8725,1.0,0.0,0.0,1.1514967638,48286172.596
2020-07-01,29.63,,,,16.9,23.5,30.1,209.3,62600263.0,2.142491893364729,2020,7,3,29.63,29.63,30.292,29.63,30.049333333333333,37.75075,8.991018308157765e-07,,,,,4918.55,29.63,3.421979920844684,0.0,0.0,17.95228005331383,1.2318224840012608,,3138.766191997645,True,False,False,-0.4999999999999998,-0.8660254037844388,15465.706942311806,16.66491366416625,10.960972031057729,20920.059999999998,138009.9559,0.0,0.0,0.0,1.07240922175,45001612.9925
2020-08-01,29.63,,,,16.8,23.1,29.5,254.4,68309338.0,2.2031595153213166,2020,8,3,29.63,29.63,29.63,29.63,29.894833333333334,34.97025,8.991018308157765e-07,,,,,5876.64,29.63,3.421979920844684,0.0,0.0,18.03955705018632,1.2318224840012608,,2995.1946761698623,True,False,False,-0.8660254037844384,-0.5000000000000004,16876.162372214374,16.66491366416625,10.960972031057729,20920.059999999998,150596.3118,0.0,0.0,0.0,1.0239691168,43007403.546000004
2020-09-01,29.63,,,,16.3,22.7,29.0,167.4,82041481.0,1.9724243154508632,2020,9,3,29.63,29.63,29.63,29.63,29.740333333333336,33.06241666666667,8.991018308157765e-07,,,,,3799.98,29.755,3.421979920844684,0.0,0.0,18.222735555364142,1.2318224840012608,,2855.9506403853256,True,False,False,-1.0,-1.8369701987210294e-16,20268.756734444425,16.66491366416625,10.960972031057729,20920.059999999998,180870.5049,0.0,0.0,0.0,1.0021279244999999,41387743.955
2020-10-01,29.755,,,,14.0,22.2,30.4,24.5,105206446.0,1.7148334047896647,2020,10,4,29.63,29.63,29.63,29.671666666666667,29.650833333333335,31.282833333333333,0.0721687836542936,,,,,543.9,29.63,3.4260525826603314,0.0,0.0,18.4714351396601,1.2321355503899172,,2687.88863102206,False,False,False,-0.8660254037844386,0.5000000000000001,25991.77678020541,16.66491366416625,10.960972031057729,20920.059999999998,231940.5108,0.0,0.0,0.0,0.99499335025,39008040.765
2020-11-01,29.63,,,,11.6,20.6,29.6,0.1,94111834.0,1.5551124101991254,2020,11,4,29.755,29.63,29.63,29.671666666666667,29.650833333333328,30.08541666666667,0.0721687836542936,,,,,2.06,29.63,3.421979920844684,0.0,0.0,18.35999436710413,1.2318224840012608,,2193.503794607137,False,False,False,-0.5000000000000004,0.8660254037844384,23250.797595650616,16.66491366416625,10.960972031057729,20920.059999999998,207481.0782,0.0,0.0,0.0,0.9536428978,36878931.872
2020-12-01,29.63,,,,9.2,17.9,26.5,12.9,96833238.0,1.5635848199148312,2020,12,4,29.63,29.755,29.63,29.671666666666667,29.650833333333328,29.927333333333333,0.0721687836542936,,,,,230.91,29.63,3.421979920844684,0.0,0.0,18.388500871405213,1.2318224840012608,,1500.3049124088086,False,False,False,-2.4492935982947064e-16,1.0,23923.13401595663,16.66491366416625,10.960972031057729,20920.059999999998,213480.747,0.0,0.0,0.0,0.92428969225,36606550.975
2021-01-01,29.63,,,,7.9,17.5,27.1,1.1,131092340.0,1.7334434414703406,2021,1,1,29.63,29.63,29.755,29.63,29.650833333333328,29.850083333333338,8.991017912400049e-07,,,,,19.25,27.055,3.421979920844684,0.0,0.0,18.69141252597472,1.2318224840012608,,1411.7329638961864,False,False,True,0.4999999999999999,0.8660254037844387,30931.466339301274,21.4852903316335,11.098763694585786,21413.559999999998,289009.1383,1.0,0.0,0.0,0.9218126794,44949539.778
2021-02-01,27.055,,,,9.4,19.3,29.2,0.3,96623843.0,1.9048479680113737,2021,2,1,29.63,29.63,29.63,28.771666666666665,29.221666666666664,29.55825,1.4866769431635685,,,,,5.79,25.74,3.334166869202935,0.0,0.0,18.386336101022803,1.224834594240075,,1838.4775329694287,False,False,True,0.8660254037844386,0.5000000000000001,22798.564335097166,21.4852903316335,11.098763694585786,21413.559999999998,213019.1101,1.0,0.0,0.0,0.9210426415,45814378.2825
2021-03-01,25.74,,,,10.6,21.2,31.8,0.0,111293834.0,2.7623711750284388,2021,3,1,27.055,29.63,29.63,27.475,28.573333333333338,29.156833333333328,1.9787180193248588,,,,,0.0,25.766,3.286160571673797,0.0,0.0,18.527684423876064,1.220815488792229,,2371.2891149668476,False,False,True,1.0,6.123233995736766e-17,26259.974306224027,21.4852903316335,11.098763694585786,21413.559999999998,245360.9041,0.0,0.0,0.0,1.02036219175,42884718.315
2021-04-01,25.766,,,,12.8,22.8,32.9,0.8,90804550.0,2.697643289901222,2021,4,2,25.74,27.055,29.63,26.187,27.9085,28.779666666666667,0.7518224524453514,,,,,18.24,33.295,3.2871324253741827,0.0,0.0,18.324219963460873,1.2208982947608271,,2890.359264738594,False,True,False,0.8660254037844387,-0.4999999999999998,21425.49199884905,21.4852903316335,11.098763694585786,21413.559999999998,200189.7651,0.0,0.0,0.0,1.17306162925,40251953.317499995
2021-05-01,33.295,,,,15.0,23.9,32.9,17.1,85793140.0,2.46835567505747,2021,5,2,25.766,25.74,27.055,28.266999999999996,28.519333333333332,29.085083333333333,4.354395135951821,,,,,408.69,46.058,3.534999570951285,0.0,0.0,18.26744961953774,1.2401653431338946,,3286.7257279619676,False,True,False,0.4999999999999999,-0.8660254037844387,20243.041065961308,21.4852903316335,11.098763694585786,21413.559999999998,189141.4972,1.0,0.0,0.0,1.1365080812000001,41801698.216
2021-06-01,46.058,,,,17.2,23.6,29.9,234.3,78610161.0,2.354978550419201,2021,6,2,33.295,25.766,25.74,35.03966666666667,31.257333333333335,30.454083333333333,10.257885373376617,,,,,5529.4800000000005,50.641,3.851380883458584,0.0,0.0,18.18001153657433,1.2600899959740477,,3175.342337660788,False,True,False,1.2246467991473532e-16,-1.0,18548.20463879548,21.4852903316335,11.098763694585786,21413.559999999998,173305.7392,0.0,0.0,0.0,1.1455915855,40680919.5725
2021-07-01,50.641,,,,17.2,23.1,29.0,256.4,71073519.0,2.6970000036159743,2021,7,3,46.058,33.295,25.766,43.33133333333333,34.759166666666665,32.205000000000005,8.988713052118944,,,,,5922.84,57.018,3.944315930624408,0.0,0.0,18.07922539221032,1.2650999174204296,,2995.1946761698623,True,False,False,-0.4999999999999998,-0.8660254037844388,16769.920809745174,21.4852903316335,11.098763694585786,21413.559999999998,156690.2878,0.0,0.0,0.0,1.07947412675,41250188.455
2021-08-01,57.018,,,,17.1,23.1,29.0,271.0,58337650.0,3.328138037785204,2021,8,3,50.641,46.058,33.295,51.239,39.753,34.48733333333333,5.504416681175202,,,,,6260.1,63.397,4.060753307227011,0.0,0.0,17.881758257623403,1.270903909972879,,2995.1946761698623,True,False,False,-0.8660254037844384,-0.5000000000000004,13764.870298973527,21.4852903316335,11.098763694585786,21413.559999999998,128612.5029,0.0,0.0,0.0,1.0989259318,38028425.384
2021-09-01,63.397,,,,16.9,22.6,28.3,235.6,78737038.0,3.2863837473794733,2021,9,3,57.018,50.641,46.058,57.01866666666666,46.02916666666667,37.30125,6.378000026131465,,,,,5324.56,50.708,4.165067048174315,0.0,0.0,18.18162423799758,1.275690545880504,,2821.8086907472493,True,False,False,-1.0,-1.8369701987210294e-16,18578.141488307294,21.4852903316335,11.098763694585786,21413.559999999998,173539.1008,0.0,0.0,0.0,1.14388981775,36167018.165
