PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
-5.2378096491693436,0.41813469432509603,1.1123447890720082,0.8990101813589048,0.9596884189664597,0.10639034172364706,-0.43522143570716015,0.10732049116459744,-0.3421350448978807,-0.16810130619278307
-4.771824373226736,-0.5419596220075437,1.8441843442233954,0.32003819732047917,0.8910121477668718,0.5342590529618476,-0.5073174868137091,-0.005603058624209224,-1.1463707332727402,-0.009833462160885322
-3.6661565132858533,-2.731666274450773,1.8066385979412891,-1.45004701997392,-0.5278442241997064,0.7927508828287917,0.14588952514563885,-0.16707594014812482,0.3560646482880825,-0.322587588435628
-2.332760444522082,-3.3266811209919402,1.776375666252458,-1.352278511341433,-0.687497305788199,0.7739224710116934,0.14078695480141412,0.6732281498202087,0.057677549695936595,0.3064122034550902
-0.0007709469018821186,-3.7161881531186327,0.3383553304299605,0.29073107603544396,0.16714602016006022,0.3108691665139579,0.16698217790526815,2.3223175904505533,1.5268404795353203,0.6932423745824947
1.2480988080010043,-3.1281851742025264,-1.639602769785099,1.538677732982839,1.2237336714888705,-0.451026438622148,0.051641355072768146,1.6835016692767515,0.21040381506862182,0.9008876774609591
2.3258685582204577,-2.7318225506984333,-1.8806628319537582,1.8563325660083785,1.0150133483144397,-1.1020438106819277,0.23743560459923613,0.4837838486679671,0.2879114450063114,0.6879951736244755
2.740299748981022,-1.2596152817837145,-2.095890604827313,1.9345608816780477,0.45908663014203693,-0.6902573374146278,0.3020107083838397,0.3930969725277831,0.11087947750580515,1.2209577437012178
1.2400716651944976,0.38918894497716494,-1.8840323165789643,0.18046852656249762,-1.4245567235171162,0.02116052323056002,0.30782952782723294,-0.23063749232830288,-0.5203443203761474,1.139096109332626
-0.06383796597094345,2.152168198954324,-1.8317730944973534,0.044163545625710024,-2.2149385331761033,-0.2763407863797004,0.3741726197685249,0.35547264725386585,-0.5685529228762366,0.37693336761759055
-0.9541317784248017,2.51995060122147,-1.690049974867761,0.0529778574059093,-1.92905707605971,-0.7310486814246974,0.8523953102695118,-0.588849245564865,0.2218373237702447,0.34346287691594296
-1.6532055574103957,3.1815524819586445,1.6737058409723533,2.427315333021316,0.03146209110458443,-0.707666776578546,-0.14006522848390993,0.03708684922327212,0.18578062241383891,0.6765340535900628
-0.4269648559079672,2.249828504374443,2.2698246304579386,2.4963681887124944,-0.551792668169451,-1.7703685303575558,-0.4797571985770138,0.31333307150708845,-0.13775562052851123,-0.29871243173608225
0.5464691455391941,2.0606161669304566,2.9695200718271577,2.285444007083227,-0.7698894016949198,-0.9887502186367585,-0.4774732764336305,-0.06637186466330956,-0.7144256604586263,0.6622161017418186
