date,produccion_tons,precio_productor_ton,rendimiento,superficie_cosechada,superficie_sembrada,precio_productor_kg,month,year,month_sin,month_cos
2005-09-01,496.3959358837528,6932.80823142736,8.137396232443322,727.4300000000001,1384.53,6.93280823142736,9,2005,-1.0,-1.8369701987210297e-16
2005-10-01,547.3874611958511,6932.80823142736,8.137396232443322,727.4300000000001,1384.53,6.93280823142736,10,2005,-0.8660254037844386,0.5000000000000001
2005-11-01,546.3510335924555,6932.80823142736,8.137396232443322,727.4300000000001,1384.53,6.93280823142736,11,2005,-0.5000000000000004,0.8660254037844384
2005-12-01,644.5776281334836,6932.80823142736,8.137396232443322,727.4300000000001,1384.53,6.93280823142736,12,2005,-2.4492935982947064e-16,1.0
2006-01-01,859.5405480639361,7580.66254663739,8.235863516848958,768.13,1574.23,7.58066254663739,1,2006,0.49999999999999994,0.8660254037844387
2006-02-01,654.2923880008873,7580.66254663739,8.235863516848958,768.13,1574.23,7.58066254663739,2,2006,0.8660254037844386,0.5000000000000001
2006-03-01,738.428937296596,7580.66254663739,8.235863516848958,768.13,1574.23,7.58066254663739,3,2006,1.0,6.123233995736766e-17
2006-04-01,576.249724114757,7580.66254663739,8.235863516848958,768.13,1574.23,7.58066254663739,4,2006,0.8660254037844387,-0.49999999999999983
2006-05-01,379.7552434108121,7580.66254663739,8.235863516848958,768.13,1574.23,7.58066254663739,5,2006,0.49999999999999994,-0.8660254037844387
2006-06-01,338.18662153911055,7580.66254663739,8.235863516848958,768.13,1574.23,7.58066254663739,6,2006,1.2246467991473532e-16,-1.0
2006-07-01,175.6895823173861,7580.66254663739,8.235863516848958,768.13,1574.23,7.58066254663739,7,2006,-0.4999999999999998,-0.8660254037844388
2006-08-01,346.8397480669313,7580.66254663739,8.235863516848958,768.13,1574.23,7.58066254663739,8,2006,-0.8660254037844384,-0.5000000000000004
2006-09-01,425.2878218934168,7580.66254663739,8.235863516848958,768.13,1574.23,7.58066254663739,9,2006,-1.0,-1.8369701987210297e-16
2006-10-01,580.9292981860058,7580.66254663739,8.235863516848958,768.13,1574.23,7.58066254663739,10,2006,-0.8660254037844386,0.5000000000000001
2006-11-01,642.1425353112832,7580.66254663739,8.235863516848958,768.13,1574.23,7.58066254663739,11,2006,-0.5000000000000004,0.8660254037844384
2006-12-01,620.2575517988779,7580.66254663739,8.235863516848958,768.13,1574.23,7.58066254663739,12,2006,-2.4492935982947064e-16,1.0
2007-01-01,895.9195332837301,9845.808798078497,9.733580765832418,1025.76,2167.58,9.845808798078497,1,2007,0.49999999999999994,0.8660254037844387
2007-02-01,604.8477221924388,9845.808798078497,9.733580765832418,1025.76,2167.58,9.845808798078497,2,2007,0.8660254037844386,0.5000000000000001
2007-03-01,1105.0235917205123,9845.808798078497,9.733580765832418,1025.76,2167.58,9.845808798078497,3,2007,1.0,6.123233995736766e-17
2007-04-01,1090.9884271932985,9845.808798078497,9.733580765832418,1025.76,2167.58,9.845808798078497,4,2007,0.8660254037844387,-0.49999999999999983
2007-05-01,984.5208049741375,9845.808798078497,9.733580765832418,1025.76,2167.58,9.845808798078497,5,2007,0.49999999999999994,-0.8660254037844387
2007-06-01,809.9627534126341,9845.808798078497,9.733580765832418,1025.76,2167.58,9.845808798078497,6,2007,1.2246467991473532e-16,-1.0
2007-07-01,677.2651041357045,9845.808798078497,9.733580765832418,1025.76,2167.58,9.845808798078497,7,2007,-0.4999999999999998,-0.8660254037844388
2007-08-01,715.8976721859243,9845.808798078497,9.733580765832418,1025.76,2167.58,9.845808798078497,8,2007,-0.8660254037844384,-0.5000000000000004
2007-09-01,607.6060346520815,9845.808798078497,9.733580765832418,1025.76,2167.58,9.845808798078497,9,2007,-1.0,-1.8369701987210297e-16
2007-10-01,907.0062034391856,9845.808798078497,9.733580765832418,1025.76,2167.58,9.845808798078497,10,2007,-0.8660254037844386,0.5000000000000001
2007-11-01,1004.8937689259221,9845.808798078497,9.733580765832418,1025.76,2167.58,9.845808798078497,11,2007,-0.5000000000000004,0.8660254037844384
2007-12-01,803.7983838844307,9845.808798078497,9.733580765832418,1025.76,2167.58,9.845808798078497,12,2007,-2.4492935982947064e-16,1.0
2008-01-01,1014.9608832322847,11124.313016409895,9.008708365228728,1230.13,2228.88,11.124313016409895,1,2008,0.49999999999999994,0.8660254037844387
2008-02-01,882.3551983119355,11124.313016409895,9.008708365228728,1230.13,2228.88,11.124313016409895,2,2008,0.8660254037844386,0.5000000000000001
2008-03-01,1034.631566018925,11124.313016409895,9.008708365228728,1230.13,2228.88,11.124313016409895,3,2008,1.0,6.123233995736766e-17
2008-04-01,1004.8401769491343,11124.313016409895,9.008708365228728,1230.13,2228.88,11.124313016409895,4,2008,0.8660254037844387,-0.49999999999999983
2008-05-01,906.0927240073764,11124.313016409895,9.008708365228728,1230.13,2228.88,11.124313016409895,5,2008,0.49999999999999994,-0.8660254037844387
2008-06-01,670.0686962598832,11124.313016409895,9.008708365228728,1230.13,2228.88,11.124313016409895,6,2008,1.2246467991473532e-16,-1.0
2008-07-01,491.4833253551408,11124.313016409895,9.008708365228728,1230.13,2228.88,11.124313016409895,7,2008,-0.4999999999999998,-0.8660254037844388
2008-08-01,772.5587333254883,11124.313016409895,9.008708365228728,1230.13,2228.88,11.124313016409895,8,2008,-0.8660254037844384,-0.5000000000000004
2008-09-01,886.7982538606943,11124.313016409895,9.008708365228728,1230.13,2228.88,11.124313016409895,9,2008,-1.0,-1.8369701987210297e-16
2008-10-01,1102.5998393485768,11124.313016409895,9.008708365228728,1230.13,2228.88,11.124313016409895,10,2008,-0.8660254037844386,0.5000000000000001
2008-11-01,1179.9240486828876,11124.313016409895,9.008708365228728,1230.13,2228.88,11.124313016409895,11,2008,-0.5000000000000004,0.8660254037844384
2008-12-01,1231.2565546476733,11124.313016409895,9.008708365228728,1230.13,2228.88,11.124313016409895,12,2008,-2.4492935982947064e-16,1.0
2009-01-01,1856.2138753032602,12367.72555219413,8.258215092292307,1987.83,5402.88,12.36772555219413,1,2009,0.49999999999999994,0.8660254037844387
2009-02-01,1413.5188344894677,12367.72555219413,8.258215092292307,1987.83,5402.88,12.36772555219413,2,2009,0.8660254037844386,0.5000000000000001
2009-03-01,1838.0858155870465,12367.72555219413,8.258215092292307,1987.83,5402.88,12.36772555219413,3,2009,1.0,6.123233995736766e-17
2009-04-01,1715.0434638193067,12367.72555219413,8.258215092292307,1987.83,5402.88,12.36772555219413,4,2009,0.8660254037844387,-0.49999999999999983
2009-05-01,1276.5810291477978,12367.72555219413,8.258215092292307,1987.83,5402.88,12.36772555219413,5,2009,0.49999999999999994,-0.8660254037844387
2009-06-01,1256.6193688379099,12367.72555219413,8.258215092292307,1987.83,5402.88,12.36772555219413,6,2009,1.2246467991473532e-16,-1.0
2009-07-01,731.4227395540909,12367.72555219413,8.258215092292307,1987.83,5402.88,12.36772555219413,7,2009,-0.4999999999999998,-0.8660254037844388
2009-08-01,757.2699328537045,12367.72555219413,8.258215092292307,1987.83,5402.88,12.36772555219413,8,2009,-0.8660254037844384,-0.5000000000000004
2009-09-01,956.2752334189586,12367.72555219413,8.258215092292307,1987.83,5402.88,12.36772555219413,9,2009,-1.0,-1.8369701987210297e-16
2009-10-01,1265.0481495995896,12367.72555219413,8.258215092292307,1987.83,5402.88,12.36772555219413,10,2009,-0.8660254037844386,0.5000000000000001
2009-11-01,1121.8482157506992,12367.72555219413,8.258215092292307,1987.83,5402.88,12.36772555219413,11,2009,-0.5000000000000004,0.8660254037844384
2009-12-01,1193.5033416381686,12367.72555219413,8.258215092292307,1987.83,5402.88,12.36772555219413,12,2009,-2.4492935982947064e-16,1.0
2010-01-01,3437.4109272630412,12534.429605084246,8.265743759938522,4225.83,8468.48,12.534429605084245,1,2010,0.49999999999999994,0.8660254037844387
2010-02-01,2475.1129416596946,12534.429605084246,8.265743759938522,4225.83,8468.48,12.534429605084245,2,2010,0.8660254037844386,0.5000000000000001
2010-03-01,3940.456659657071,12534.429605084246,8.265743759938522,4225.83,8468.48,12.534429605084245,3,2010,1.0,6.123233995736766e-17
2010-04-01,3026.267556757438,12534.429605084246,8.265743759938522,4225.83,8468.48,12.534429605084245,4,2010,0.8660254037844387,-0.49999999999999983
2010-05-01,2364.2211398889467,12534.429605084246,8.265743759938522,4225.83,8468.48,12.534429605084245,5,2010,0.49999999999999994,-0.8660254037844387
2010-06-01,1900.2798931236212,12534.429605084246,8.265743759938522,4225.83,8468.48,12.534429605084245,6,2010,1.2246467991473532e-16,-1.0
2010-07-01,1563.499720697952,12534.429605084246,8.265743759938522,4225.83,8468.48,12.534429605084245,7,2010,-0.4999999999999998,-0.8660254037844388
2010-08-01,1130.3199360587623,12534.429605084246,8.265743759938522,4225.83,8468.48,12.534429605084245,8,2010,-0.8660254037844384,-0.5000000000000004
2010-09-01,1597.0561356205258,12534.429605084246,8.265743759938522,4225.83,8468.48,12.534429605084245,9,2010,-1.0,-1.8369701987210297e-16
2010-10-01,2177.1631913708006,12534.429605084246,8.265743759938522,4225.83,8468.48,12.534429605084245,10,2010,-0.8660254037844386,0.5000000000000001
2010-11-01,2762.137713701988,12534.429605084246,8.265743759938522,4225.83,8468.48,12.534429605084245,11,2010,-0.5000000000000004,0.8660254037844384
2010-12-01,3612.8541842001587,12534.429605084246,8.265743759938522,4225.83,8468.48,12.534429605084245,12,2010,-2.4492935982947064e-16,1.0
2011-01-01,4675.505593849244,10398.368438442347,6.941379376438297,5929.35,10867.98,10.398368438442347,1,2011,0.49999999999999994,0.8660254037844387
2011-02-01,3204.757391525086,10398.368438442347,6.941379376438297,5929.35,10867.98,10.398368438442347,2,2011,0.8660254037844386,0.5000000000000001
2011-03-01,3722.1190389280273,10398.368438442347,6.941379376438297,5929.35,10867.98,10.398368438442347,3,2011,1.0,6.123233995736766e-17
2011-04-01,3356.344403204913,10398.368438442347,6.941379376438297,5929.35,10867.98,10.398368438442347,4,2011,0.8660254037844387,-0.49999999999999983
2011-05-01,2661.8469419034836,10398.368438442347,6.941379376438297,5929.35,10867.98,10.398368438442347,5,2011,0.49999999999999994,-0.8660254037844387
2011-06-01,2197.0574736265976,10398.368438442347,6.941379376438297,5929.35,10867.98,10.398368438442347,6,2011,1.2246467991473532e-16,-1.0
2011-07-01,1163.227254430688,10398.368438442347,6.941379376438297,5929.35,10867.98,10.398368438442347,7,2011,-0.4999999999999998,-0.8660254037844388
2011-08-01,1909.7465179319772,10398.368438442347,6.941379376438297,5929.35,10867.98,10.398368438442347,8,2011,-0.8660254037844384,-0.5000000000000004
2011-09-01,2507.1713820031355,10398.368438442347,6.941379376438297,5929.35,10867.98,10.398368438442347,9,2011,-1.0,-1.8369701987210297e-16
2011-10-01,3884.6604566355127,10398.368438442347,6.941379376438297,5929.35,10867.98,10.398368438442347,10,2011,-0.8660254037844386,0.5000000000000001
2011-11-01,4046.037219492946,10398.368438442347,6.941379376438297,5929.35,10867.98,10.398368438442347,11,2011,-0.5000000000000004,0.8660254037844384
2011-12-01,4413.066326468388,10398.368438442347,6.941379376438297,5929.35,10867.98,10.398368438442347,12,2011,-2.4492935982947064e-16,1.0
2012-01-01,4419.600553425825,12468.754452309191,7.0873851422376815,5733.6,11043.11,12.468754452309192,1,2012,0.49999999999999994,0.8660254037844387
2012-02-01,2959.6230325358774,12468.754452309191,7.0873851422376815,5733.6,11043.11,12.468754452309192,2,2012,0.8660254037844386,0.5000000000000001
2012-03-01,3763.483198149749,12468.754452309191,7.0873851422376815,5733.6,11043.11,12.468754452309192,3,2012,1.0,6.123233995736766e-17
2012-04-01,3585.974621524573,12468.754452309191,7.0873851422376815,5733.6,11043.11,12.468754452309192,4,2012,0.8660254037844387,-0.49999999999999983
2012-05-01,2722.9869140935944,12468.754452309191,7.0873851422376815,5733.6,11043.11,12.468754452309192,5,2012,0.49999999999999994,-0.8660254037844387
2012-06-01,2383.8691551900783,12468.754452309191,7.0873851422376815,5733.6,11043.11,12.468754452309192,6,2012,1.2246467991473532e-16,-1.0
2012-07-01,1572.7312845303754,12468.754452309191,7.0873851422376815,5733.6,11043.11,12.468754452309192,7,2012,-0.4999999999999998,-0.8660254037844388
2012-08-01,2612.4810474560654,12468.754452309191,7.0873851422376815,5733.6,11043.11,12.468754452309192,8,2012,-0.8660254037844384,-0.5000000000000004
2012-09-01,2806.8372508369794,12468.754452309191,7.0873851422376815,5733.6,11043.11,12.468754452309192,9,2012,-1.0,-1.8369701987210297e-16
2012-10-01,4525.611099558207,12468.754452309191,7.0873851422376815,5733.6,11043.11,12.468754452309192,10,2012,-0.8660254037844386,0.5000000000000001
