precio_promedio,temp_min_c,temp_avg_c,temp_max_c,importaciones_kg,precio_importacion_usd,year,precio_lag1,precio_lag2,precio_lag3,precio_ma3,precio_ma6,precio_ma12,precio_std3,precio_promedio_log,cosecha_tons_log,precio_promedio_boxcox,temp_avg_c_boxcox,temp_marcena,month_cos
31.39,16.3,23.1,29.8,59113706.0,3.3609835424630625,2018.0,32.45,33.055,33.055,32.29833333333333,32.57533333333333,33.04609090909091,0.8427979196304101,3.477849733183238,0.0,1.2360349746273196,2995.1946761698623,0.0,-0.5000000000000004
30.858,16.5,22.8,29.1,59736065.0,2.460431935046274,2018.0,31.39,32.45,33.055,31.566000000000003,32.30166666666667,32.86375,0.810461596869356,3.4612885278724463,0.0,1.234804624117833,2890.359264738594,0.0,-1.8369701987210297e-16
31.095,15.2,21.8,28.5,77771729.0,2.002507569299379,2018.0,30.858,31.39,32.45,31.114333333333335,31.983833333333333,32.28375,0.26652642145454375,3.4687002547637413,0.0,1.235357137500399,2558.1592573701837,0.0,0.5000000000000001
31.94,10.3,18.4,26.5,71570130.0,2.271209176230363,2018.0,31.095,30.858,31.39,31.297666666666668,31.798000000000002,32.23708333333334,0.568758589678752,3.4946877247494945,0.0,1.2372703328685535,1615.984145846261,0.0,0.8660254037844384
33.303,7.6,16.7,25.7,85485040.0,1.7121957479343757,2018.0,31.94,31.095,30.858,32.11266666666666,31.839333333333332,32.304,1.1140809366169726,3.5352328139040314,0.0,1.2401818404143246,1244.9113665601649,0.0,1.0
35.835,8.1,17.5,26.8,117594318.0,1.7690984440251611,2019.0,33.303,31.94,31.095,33.69266666666667,32.4035,32.581916666666665,1.9765212706503668,3.606448480134777,0.0,1.2450864614367634,1411.7329638961864,0.0,0.8660254037844387
33.597,9.6,19.7,29.9,91107301.0,1.7459053583422477,2019.0,35.835,33.303,31.94,34.245,32.77133333333333,32.67333333333333,1.3848046793681803,3.543766973102253,0.0,1.240783483268947,1943.4053366122823,0.0,0.5000000000000001
31.11,10.8,21.4,31.9,105305016.0,2.0170846847409436,2019.0,33.597,35.835,33.303,33.514,32.81333333333333,32.5575,2.3635932391170895,3.4691675081014224,0.0,1.2353918665791213,2432.5595080175244,0.0,6.123233995736766e-17
31.11,11.4,22.0,32.6,90528718.0,3.4796454535012855,2019.0,31.11,33.597,35.835,31.938999999999997,32.81583333333333,32.39983333333333,1.4358701194746084,3.4691675081014224,0.0,1.2353918665791213,2622.50392091386,1.0,-0.49999999999999983
51.857,14.5,24.4,34.3,69755021.0,3.487005817115301,2019.0,31.11,31.11,33.597,38.025666666666666,36.135333333333335,33.96666666666666,11.978286034877165,3.9675901538766016,0.0,1.26630089792175,3477.937781158793,1.0,-0.8660254037844387
59.388,17.7,25.5,33.3,34103650.0,4.581663986112924,2019.0,51.857,31.11,31.11,47.45166666666666,40.48283333333333,36.16108333333333,14.644676245425615,4.10079040970549,0.0,1.272785459656657,3923.6495425764415,1.0,-1.0
