date,market,product,price_avg,source
2023-03-15,"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",aguacate_hass,36.22,SNIIM
2023-03-15,Veracruz: Central de Abasto de Jalapa,aguacate_hass,40.39,SNIIM
2023-03-15,Veracruz: Central de Abasto de Minatitlán,aguacate_hass,41.42,SNIIM
2023-03-15,Veracruz: Mercado Malibrán,aguacate_hass,42.66,SNIIM
2023-03-15,Yucatán: Central de Abasto de Mérida,aguacate_hass,35.29,SNIIM
2023-03-15,Yucatán: Centro Mayorista Oxkutzcab,aguacate_hass,48.24,SNIIM
2023-03-15,Zacatecas: Mercado de Abasto de Zacatecas,aguacate_hass,37.27,SNIIM
2023-04-15,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,aguacate_hass,31.0,SNIIM
2023-04-15,"Baja California : Central de Abasto INDIA, Tijuana",aguacate_hass,49.63,SNIIM
2023-04-15,Baja California Sur: Unión de Comerciantes de La Paz,aguacate_hass,55.35,SNIIM
2023-04-15,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",aguacate_hass,33.41,SNIIM
2023-04-15,"Coahuila: Central de Abasto de La Laguna, Torreón",aguacate_hass,80.0,SNIIM
2023-04-15,Colima: Centros de distribución de Colima,aguacate_hass,57.5,SNIIM
2023-04-15,Chiapas: Central de Abasto de Tuxtla Gutiérrez,aguacate_hass,36.68,SNIIM
2023-04-15,Chihuahua: Mercado de Abasto de Cd. Juárez,aguacate_hass,40.0,SNIIM
2023-04-15,DF: Central de Abasto de Iztapalapa DF,aguacate_hass,46.56,SNIIM
2023-04-15,Durango: Centro de Distribución y Abasto de Gómez Palacio,aguacate_hass,50.15,SNIIM
2023-04-15,Guanajuato: Central de Abasto de León,aguacate_hass,42.67,SNIIM
2023-04-15,Guerrero: Central de Abastos de Acapulco,aguacate_hass,53.5,SNIIM
2023-04-15,Hidalgo: Central de Abasto de Pachuca,aguacate_hass,34.17,SNIIM
2023-04-15,Jalisco: Mercado de Abasto de Guadalajara,aguacate_hass,43.54,SNIIM
2023-04-15,Jalisco: Mercado Felipe Ángeles de Guadalajara,aguacate_hass,51.1,SNIIM
2023-04-15,México: Central de Abasto de Ecatepec,aguacate_hass,46.88,SNIIM
2023-04-15,México: Central de Abasto de Toluca,aguacate_hass,38.92,SNIIM
2023-04-15,Michoacán: Mercado de Abasto de Morelia,aguacate_hass,48.06,SNIIM
2023-04-15,Morelos: Central de Abasto de Cuautla,aguacate_hass,43.75,SNIIM
2023-04-15,"Morelos: Mercado ""Adolfo López Mateos"" de Cuernavaca",aguacate_hass,42.75,SNIIM
2023-04-15,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,aguacate_hass,55.08,SNIIM
2023-04-15,Nayarit: Nayarabastos de Tepic,aguacate_hass,54.22,SNIIM
2023-04-15,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",aguacate_hass,43.0,SNIIM
2023-04-15,Oaxaca: Módulo de Abasto de Oaxaca,aguacate_hass,34.14,SNIIM
2023-04-15,Puebla: Central de Abasto de Puebla,aguacate_hass,37.5,SNIIM
2023-04-15,Querétaro: Mercado de Abasto de Querétaro,aguacate_hass,40.77,SNIIM
2023-04-15,"Quintana Roo: Mercado de Chetumal, Quintana Roo",aguacate_hass,70.0,SNIIM
2023-04-15,San Luis Potosí: Centro de Abasto de San Luis Potosí,aguacate_hass,34.9,SNIIM
2023-04-15,Sinaloa: Central de Abasto de Culiacán,aguacate_hass,46.75,SNIIM
2023-04-15,Sonora: Central de Abasto de Cd. Obregón,aguacate_hass,36.01,SNIIM
2023-04-15,"Sonora: Mercado de Abasto ""Francisco I. Madero"" de Hermosillo",aguacate_hass,50.28,SNIIM
2023-04-15,Tabasco: Central de Abasto de Villahermosa,aguacate_hass,41.7,SNIIM
